code,da,cap
NVDA,2025-09-03,41540.85
MSFT,2025-09-03,37571.53
AAPL,2025-09-03,35389.88
AMZN,2025-09-03,24096.84
META,2025-09-03,18515.74
AVGO,2025-09-03,14222.83
GOOGL,2025-09-03,13417.49
GOOG,2025-09-03,12548.73
TSM,2025-09-03,12001.1
TSLA,2025-09-03,10775.9
JPM,2025-09-03,8235.79
WMT,2025-09-03,7928.2
VOO,2025-09-03,7329.94
BRK.B,2025-09-03,6913.27
V,2025-09-03,6810.18
LLY,2025-09-03,6614.33
IVV,2025-09-03,6593.65
SPY,2025-09-03,6538.03
ORCL,2025-09-03,6276.34
MA,2025-09-03,5363.32
VTI,2025-09-03,5263.27
NFLX,2025-09-03,5210.36
XOM,2025-09-03,4771.0
JNJ,2025-09-03,4286.84
COST,2025-09-03,4212.06
HD,2025-09-03,4058.29
BRK.A,2025-09-03,3903.33
ABBV,2025-09-03,3742.63
BAC,2025-09-03,3707.92
PG,2025-09-03,3704.93
PLTR,2025-09-03,3674.76
QQQ,2025-09-03,3655.29
BABA,2025-09-03,3252.96
CVX,2025-09-03,3184.63
SAP,2025-09-03,3155.38
KO,2025-09-03,2969.1
GE,2025-09-03,2926.07
ASML,2025-09-03,2897.18
TMUS,2025-09-03,2843.48
UNH,2025-09-03,2788.39
CSCO,2025-09-03,2679.73
AMD,2025-09-03,2631.12
WFC,2025-09-03,2579.09
AZN,2025-09-03,2545.8
PM,2025-09-03,2540.67
NVO,2025-09-03,2521.2
TM,2025-09-03,2515.57
NVS,2025-09-03,2482.34
CRM,2025-09-03,2451.66
MS,2025-09-03,2371.04
ABT,2025-09-03,2300.54
IBM,2025-09-03,2273.84
MCD,2025-09-03,2257.77
AXP,2025-09-03,2252.64
HSBC,2025-09-03,2244.6
LIN,2025-09-03,2211.61
GS,2025-09-03,2211.56
RTX,2025-09-03,2116.37
SHEL,2025-09-03,2114.37
DIS,2025-09-03,2110.41
MRK,2025-09-03,2102.63
T,2025-09-03,2076.47
RY,2025-09-03,2053.97
PEP,2025-09-03,2035.26
CAT,2025-09-03,1944.75
UBER,2025-09-03,1938.19
NOW,2025-09-03,1907.89
VUG,2025-09-03,1870.73
INTU,2025-09-03,1865.26
VZ,2025-09-03,1844.22
TMO,2025-09-03,1829.72
SHOP,2025-09-03,1822.38
BKNG,2025-09-03,1809.43
HDB,2025-09-03,1806.25
TXN,2025-09-03,1779.55
PDD,2025-09-03,1765.9
BA,2025-09-03,1757.16
C,2025-09-03,1749.41
SCHW,2025-09-03,1746.6
ANET,2025-09-03,1726.68
VEA,2025-09-03,1714.23
MUFG,2025-09-03,1708.19
BLK,2025-09-03,1702.6
QCOM,2025-09-03,1697.05
APP,2025-09-03,1648.46
SPGI,2025-09-03,1646.3
SONY,2025-09-03,1619.9
BSX,2025-09-03,1593.33
ACN,2025-09-03,1582.98
ISRG,2025-09-03,1581.53
UL,2025-09-03,1575.06
